metabolite_name;Human.Metabolome.Database;KEGG;InChIKey;Formula;Molecular.Weight;RT..min.;mzCloud.Best.Match;mzCloud.Library.Match..Autoprocessed;mzCloud.Library.Match..Reference;MS2
(+)-Calycanthine;(+)-Calycanthine;HMDB0029561;C10573;XSYCDVWYEVUDKQ-UHFFFAOYSA-N;C22 H26 N4;346.21418;11.236;NA;No matches found;No matches found;No MS2
(±)-2,6-Dimethyl-5-heptenal;(±)-2,6-Dimethyl-5-heptenal;HMDB0031834;NA;YGFGZTXGYTUXBA-UHFFFAOYSA-N;C6 H14 S2;150.05422;1.421;NA;No matches found;No matches found;No MS2
(±)-2-Hydroxy-4-(methylthio)butanoic acid;(±)-2-Hydroxy-4-(methylthio)butanoic acid;HMDB0037115;NA;ONFOSYPQQXJWGS-UHFFFAOYSA-N;C5 H10 O3 S;150.03491;5.43;86.9;No matches found;Single match found;DDA for preferred ion
(±)-Camphoric acid;(±)-Camphoric acid;HMDB0034491;NA;LSPHULWDVZXLIL-UHFFFAOYSA-N;C10 H14 O4;198.08918;9.857;69.3;No matches found;Single match found;DDA for preferred ion
(±)-Furaneol;(±)-Furaneol;HMDB0040594;NA;INAXVXBDKKUCGI-UHFFFAOYSA-N;C6 H8 O3;128.0473;6.948;NA;No matches found;No matches found;No MS2
(2S)-2-[(2-Methyl-2-sulfanylpropanoyl)amino]-3-sulfanylpropanoic acid;(2S)-2-[(2-Methyl-2-sulfanylpropanoyl)amino]-3-sulfanylpropanoic acid;NA;NA;VUAFHZCUKUDDBC-SCSAIBSYSA-N;C7 H13 N O3 S2;223.03362;7.777;NA;No matches found;No matches found;DDA for preferred ion
(R)-3-Hydroxy myristic acid;(R)-3-Hydroxy myristic acid;NA;NA;ATRNZOYKSNPPBF-CYBMUJFWSA-N;C14 H28 O3;244.20369;13.145;92.5;No matches found;Multiple matches found;DDA for preferred ion
(R)-3-hydroxybutyrylcarnitine;(R)-3-hydroxybutyrylcarnitine;HMDB0062735;NA;UEFRDQSMQXDWTO-YGPZHTELSA-N;C11 H21 N O5;247.14173;1.792;NA;No matches found;No matches found;No MS2
(R)-3-Hydroxydecanoic acid;(R)-3-Hydroxydecanoic acid;HMDB0010725;NA;FYSSBMZUBSBFJL-SECBINFHSA-N;C10 H20 O3;188.14122;11.839;89.2;No matches found;Multiple matches found;DDA for preferred ion
(S)-10,16-Dihydroxyhexadecanoic acid;(S)-10,16-Dihydroxyhexadecanoic acid;HMDB0037798;C08285;VJZBXAQGWLMYMS-UHFFFAOYSA-N;C16 H32 O4;288.23023;12.004;NA;No matches found;No matches found;DDA for preferred ion
(S)-9-Hydroxy-10-undecenoic acid;(S)-9-Hydroxy-10-undecenoic acid;HMDB0032662;NA;CJUFNYIRKDOQMC-UHFFFAOYSA-N;C11 H20 O3;200.14127;11.968;NA;No matches found;No matches found;No MS2
1-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-3,5-heptanediol;1-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-3,5-heptanediol;HMDB0041091;NA;UEKHBUNMFZUBFK-UHFFFAOYSA-N;C22 H30 O7;406.19889;11.462;NA;No matches found;No matches found;No MS2
1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose;1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose;HMDB0034879;NA;ZAWLGBRDVQURAK-UHFFFAOYSA-N;C12 H24 N2 O7;308.15807;0.753;NA;No matches found;No matches found;No MS2
10-HDA;10-HDA;NA;NA;QHBZHVUGQROELI-SOFGYWHQSA-N;C10 H18 O3;186.12554;11.499;79.4;No matches found;Single match found;DDA for preferred ion
10-Nitrolinoleic acid;10-Nitrolinoleic acid;HMDB0005049;C13800 ;LELVHAQTWXTCLY-XYWKCAQWSA-N;C18 H31 N O4;325.22536;13.733;77.9;No matches found;Single match found;DDA for preferred ion
11,12-Epoxyeicosatrienoic acid;11,12-Epoxyeicosatrienoic acid;HMDB0004673;NA;DXOYQVHGIODESM-KROJNAHFSA-N;C20 H32 O3;320.23504;13.202;90.7;Multiple matches found;Multiple matches found;DDA for preferred ion
11-Aminoundecanoic acid;11-Aminoundecanoic acid;NA;C19325;GUOSQNAUYHMCRU-UHFFFAOYSA-N;C11 H23 N O2;201.17281;1.633;NA;No matches found;No matches found;No MS2
11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol;11-nor-9-carboxy-Delta(9)-tetrahydrocannabinol;HMDB0062770;NA;YOVRGSHRZRJTLZ-UHFFFAOYSA-N;C21 H28 O4;344.19881;11.838;NA;No matches found;No matches found;No MS2
12(S)-HPETE;12(S)-HPETE;HMDB0004243;NA;ZIOZYRSDNLNNNJ-LQWMCKPYSA-N;C20 H32 O4;318.21938;12.873;82.2;Multiple matches found;Multiple matches found;DDA for preferred ion
12(S)-Leukotriene B4;12(S)-Leukotriene B4;HMDB0005089;C04853 ;VNYSSYRCGWBHLG-CBBLYLIKSA-N;C20 H32 O4;336.23025;12.105;74.3;Multiple matches found;Multiple matches found;DDA for preferred ion
12,13-DiHODE;12,13-DiHODE;HMDB0010201;NA;RGRKFKRAFZJQMS-OOHFSOINSA-N;C18 H34 O4;314.24589;12.292;91.4;Multiple matches found;Multiple matches found;DDA for preferred ion
12-Hydroxydodecanoic acid;12-Hydroxydodecanoic acid;HMDB0002059;C08317;ZDHCZVWCTKTBRY-UHFFFAOYSA-N;C12 H24 O3;216.17237;12.375;NA;No matches found;No matches found;DDA for preferred ion
12-Hydroxystearic acid;12-Hydroxystearic acid;HMDB0061706;NA;ULQISTXYYBZJSJ-UHFFFAOYSA-N;C18 H36 O3;300.26648;13.559;NA;No matches found;No matches found;DDA for preferred ion
13-HODE;13-HODE;HMDB0004667;NA;HNICUWMFWZBIFP-IRQZEAMPSA-N;C18 H32 O3;296.23494;13.445;79;Multiple matches found;Multiple matches found;DDA for preferred ion
16-Hydroxy hexadecanoic acid;16-Hydroxy hexadecanoic acid;HMDB0006294;C18218;UGAGPNKCDRTDHP-UHFFFAOYSA-N;C16 H32 O3;272.2353;13.9;83.8;No matches found;Single match found;DDA for preferred ion
19,20-DiHDPA;19,20-DiHDPA;HMDB0010214;NA;FFXKPSNQCPNORO-MBYQGORISA-N;C22 H34 O4;362.24591;12.436;88.7;Multiple matches found;Multiple matches found;DDA for preferred ion
1-Aminocyclopropanecarboxylic acid;1-Aminocyclopropanecarboxylic acid;HMDB0036458;C01234;PAJPWUMXBYXFCZ-UHFFFAOYSA-N;C4 H7 N O2;101.04744;0.909;NA;No matches found;No matches found;No MS2
1-Arachidonoyl-sn-glycero-3-phosphocholine;1-Arachidonoyl-sn-glycero-3-phosphocholine;HMDB0010395;NA;LAXQYRRMGGEGOH-JXRLJXCWSA-N;C28 H50 N O7 P;543.33185;12.669;NA;No matches found;No matches found;DDA for preferred ion
1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine;1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine;HMDB0011503;NA;YVYMBNSKXOXSKW-HXUWFJFHSA-N;C21 H44 N O7 P;453.28588;12.898;NA;No matches found;No matches found;DDA for preferred ion
1-Methylhistamine;1-Methylhistamine;HMDB0000898;C05127;FHQDWPCFSJMNCT-UHFFFAOYSA-N;C6 H11 N3;125.09525;0.73;NA;No matches found;No matches found;No MS2
1-Octadecanoyl-sn-glycero-3-phosphoethanolamine;1-Octadecanoyl-sn-glycero-3-phosphoethanolamine;HMDB0011130;NA;BBYWOYAFBUOUFP-JOCHJYFZSA-N;C23 H48 N O7 P;481.31658;12.577;NA;No matches found;No matches found;DDA for preferred ion
2-Dodecylbenzenesulfonic acid;2-Dodecylbenzenesulfonic acid;HMDB0031031;NA;WBIQQQGBSDOWNP-UHFFFAOYSA-N;C18 H30 O3 S;326.19063;10.132;NA;No matches found;No matches found;No MS2
2-Ethyl-4,5-dimethylthiazole;2-Ethyl-4,5-dimethylthiazole;HMDB0040068;NA;BVOKJOZBJOWZNJ-UHFFFAOYSA-N;C7 H11 N O;125.08402;1.461;NA;No matches found;No matches found;No MS2
2-Furoic acid;2-Furoic acid;HMDB0000617;C01546;SMNDYUVBFMFKNZ-UHFFFAOYSA-N;C5 H4 O3;112.01596;1.533;80;No matches found;Single match found;DDA for preferred ion
2-Hexenoylcarnitine;2-Hexenoylcarnitine;HMDB0013161;NA;JUAQYRSUSCWTQK-BQYQJAHWSA-N;C13 H23 N O4;257.16279;10.423;NA;No matches found;No matches found;No MS2
2-Keto-6-acetamidocaproate;2-Keto-6-acetamidocaproate;HMDB0012150;C05548;NGCXIFFZXAZRAF-UHFFFAOYSA-N;C8 H13 N O4;187.08431;1.415;NA;No matches found;No matches found;No MS2
2-Ketobutyric acid;2-Ketobutyric acid;HMDB0000005;C00109 ;TYEYBOSBBBHJIV-UHFFFAOYSA-N;C4 H6 O3;102.03161;0.957;NA;No matches found;No matches found;DDA for other ion
2-Methyl-5-nitroaniline;2-Methyl-5-nitroaniline;NA;NA;DSBIJCMXAIKKKI-UHFFFAOYSA-N;C7 H8 N2 O2;152.0585;2.692;64.4;No matches found;Single match found;DDA for preferred ion
2-Octanamidoacetic acid;2-Octanamidoacetic acid;HMDB0000832;NA;SAVLIIGUQOSOEP-UHFFFAOYSA-N;C10 H19 N O3;201.13647;10.953;NA;No matches found;No matches found;DDA for preferred ion
2-Oxoglutaric acid;2-Oxoglutaric acid;HMDB0000005;C00109 ;TYEYBOSBBBHJIV-UHFFFAOYSA-N;C5 H6 O5;146.02145;1.424;96.1;No matches found;Single match found;DDA for preferred ion
2-tert-Butyl-1,4-benzenediol;2-tert-Butyl-1,4-benzenediol;HMDB0032062;NA;BGNXCDMCOKJUMV-UHFFFAOYSA-N;C10 H14 O2;166.0993;8.851;NA;No matches found;No matches found;No MS2
2-Tetrahydrothiopheneacetic acid;2-Tetrahydrothiopheneacetic acid;NA;C11072;YNFYCBDMMKUYKX-UHFFFAOYSA-N;C6 H10 O2 S;146.03998;2.461;NA;No matches found;No matches found;No MS2
3, 5-Tetradecadiencarnitine;3, 5-Tetradecadiencarnitine;HMDB0013331;NA;IXOHTRSFILEKHO-NKBLVAAJSA-N;C21 H37 N O4;367.27199;11.362;NA;No matches found;No matches found;No MS2
3,5-Dihydroxybenzoic acid;3,5-Dihydroxybenzoic acid;HMDB0013677;NA;UYEMGAFJOZZIFP-UHFFFAOYSA-N;C7 H6 O4;154.02657;8.111;88.2;No matches found;Multiple matches found;DDA for preferred ion
3-Carboxy-4-methyl-5-propyl-2-furanpropionate;3-Carboxy-4-methyl-5-propyl-2-furanpropionate;NA;NA;WMCQWXZMVIETAO-UHFFFAOYSA-L;C12 H16 O5;240.0998;11.232;90.9;No matches found;Single match found;DDA for preferred ion
3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid;3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid;HMDB0127615;NA;PTBDIHRZYDMNKB-UHFFFAOYSA-N;C5 H10 O4;134.05789;1.6;61.7;No matches found;Single match found;DDA for preferred ion
3-Hydroxymethylglutaric acid;3-Hydroxymethylglutaric acid;HMDB0000355;C03761 ;NPOAOTPXWNWTSH-UHFFFAOYSA-N;C6 H10 O5;162.05278;2.226;64.6;No matches found;Single match found;DDA for preferred ion
3-Hydroxysebacic acid;3-Hydroxysebacic acid;HMDB0000350;NA;OQYZCCKCJQWHIE-UHFFFAOYSA-N;C10 H18 O5;218.11521;9.751;NA;No matches found;No matches found;DDA for other ion
3-Hydroxytetradecanedioic acid;3-Hydroxytetradecanedioic acid;HMDB0000394;NA;CEDZIURHISELSQ-UHFFFAOYSA-N;C14 H26 O5;274.17829;10.569;NA;No matches found;No matches found;DDA for preferred ion
3-Hydroxytetradecanoyl carnitine;3-Hydroxytetradecanoyl carnitine;HMDB0061640;NA;GFAZJTUXMHGTOC-UHFFFAOYSA-N;C21 H41 N O5;387.29814;11.324;NA;No matches found;No matches found;No MS2
3-Mercaptohexyl butyrate;3-Mercaptohexyl butyrate;HMDB0038948;NA;TZNJKOLXWHXDAF-UHFFFAOYSA-N;C10 H20 O2 S;204.11893;0.932;NA;No matches found;No matches found;No MS2
3-Methylcyclohexanethiol;3-Methylcyclohexanethiol;HMDB0031537;NA;PWHHTYJQSMSOEC-UHFFFAOYSA-N;C7 H14 S;130.08217;1.421;NA;No matches found;No matches found;No MS2
3-Oxotetradecanoic acid;3-Oxotetradecanoic acid;HMDB0010730;NA;XLKOZYOVXNPWGT-UHFFFAOYSA-N;C14 H26 O3;242.18822;12.827;NA;No matches found;No matches found;DDA for preferred ion
3-Pyridin-3-yl-2-thiophen-2-ylprop-2-enenitrile;3-Pyridin-3-yl-2-thiophen-2-ylprop-2-enenitrile;NA;NA;DGMSKRCMDSDQKR-UHFFFAOYSA-N;C12 H8 N2 S;212.04062;6.665;82.1;Single match found;Single match found;DDA for preferred ion
3-Tert-Butyladipic acid;3-Tert-Butyladipic acid;NA;NA;LHSCNQRBIIDZCB-UHFFFAOYSA-N;C10 H18 O4;202.12051;10.534;89.6;No matches found;Single match found;DDA for preferred ion
4-Guanidinobutanoic acid;4-Guanidinobutanoic acid;HMDB0003464;C01035;TUHVEAJXIMEOSA-UHFFFAOYSA-N;C5 H11 N3 O2;145.08504;1.436;NA;No matches found;No matches found;No MS2
4-Hydroxy-5-methyl-3(2H)-thiophenone;4-Hydroxy-5-methyl-3(2H)-thiophenone;HMDB0033548;NA;GIVVLEIYPVKDNV-UHFFFAOYSA-N;C5 H6 O2 S;130.00882;0.978;NA;No matches found;No matches found;No MS2
4-Hydroxybenzenesulfonic acid;4-Hydroxybenzenesulfonic acid;NA;NA;FEPBITJSIHRMRT-UHFFFAOYSA-N;C6 H6 O4 S;173.99857;5.923;86.8;No matches found;Multiple matches found;DDA for preferred ion
4-Hydroxycinnamic acid;4-Hydroxycinnamic acid;HMDB0002035;C00811;NGSWKAQJJWESNS-ZZXKWVIFSA-N;C9 H8 O3;164.0473;0.96;NA;No matches found;No matches found;DDA for preferred ion
4-Indolecarbaldehyde;4-Indolecarbaldehyde;NA;NA;JFDDFGLNZWNJTK-UHFFFAOYSA-N;C9 H7 N O;145.05267;9.986;85.1;No matches found;Single match found;DDA for preferred ion
4-Methylene-L-glutamine;4-Methylene-L-glutamine;NA;C01109;CEVQXWMPODOBRM-BYPYZUCNSA-N;C6 H10 N2 O3;158.06905;0.987;NA;No matches found;No matches found;DDA for preferred ion
4-Oxo-L-proline;4-Oxo-L-proline;NA;C01877;HFXAFXVXPMUQCQ-BYPYZUCNSA-N;C5 H7 N O3;129.04257;1.623;95.7;No matches found;Single match found;DDA for preferred ion
4-Trimethylammoniobutanoic acid;4-Trimethylammoniobutanoic acid;HMDB0001161;C01181;JHPNVNIEXXLNTR-UHFFFAOYSA-N;C7 H15 N O2;145.11021;0.92;NA;No matches found;No matches found;No MS2
4-Vinylphenol sulfate;4-Vinylphenol sulfate;HMDB0062775;NA;IETVQHUKTKKBFF-UHFFFAOYSA-N;C8 H8 O4 S;200.01428;10.027;NA;No matches found;No matches found;DDA for preferred ion
5-[4-hydroxy-3-(sulfooxy)phenyl]pentanoic acid;5-[4-hydroxy-3-(sulfooxy)phenyl]pentanoic acid;HMDB0127760;NA;OUPGXCOAIUBOQD-UHFFFAOYSA-N;C11 H14 O7 S;290.04631;8.47;NA;No matches found;No matches found;No MS2
5-Sulfosalicylic acid;5-Sulfosalicylic acid;HMDB0011725;C16199;YCPXWRQRBFJBPZ-UHFFFAOYSA-N;C7 H6 O6 S;217.98766;5.301;NA;No matches found;No matches found;No MS2
6-Hydroxypseudooxynicotine;6-Hydroxypseudooxynicotine;HMDB0240264;C01297 ;UMLOUOBDBGOHHR-UHFFFAOYSA-N;C10 H14 N2 O2;194.10505;10.926;NA;No matches found;No matches found;No MS2
9(S)-HPODE;9(S)-HPODE;HMDB0006940;C14827 ;JGUNZIWGNMQSBM-ZJHFMPGASA-N;C18 H32 O4;312.23025;12.856;67;Single match found;Single match found;DDA for preferred ion
A-12(13)-EpODE;A-12(13)-EpODE;HMDB0010200;NA;BKKGUKSHPCTUGE-OOHFSOINSA-N;C18 H30 O3;294.21953;12.738;NA;No matches found;No matches found;No MS2
Acetyl tributyl citrate;Acetyl tributyl citrate;HMDB0034159;C00777;QZCLKYGREBVARF-UHFFFAOYSA-N;C20 H34 O8;402.2257;11.027;NA;No matches found;No matches found;No MS2
Acetylglycine;Acetylglycine;HMDB0000532;NA;OKJIRPAQVSHGFK-UHFFFAOYSA-N;C4 H7 N O3;117.0425;0.932;NA;No matches found;No matches found;DDA for preferred ion
Adenosine monophosphate;Adenosine monophosphate;HMDB0000045;C00020 ;UDMBCSSLTHHNCD-KQYNXXCUSA-N;C10 H14 N5 O7 P;347.06286;1.424;93.9;No matches found;Multiple matches found;DDA for preferred ion
Alanylglycine;Alanylglycine;HMDB0006899;NA;CXISPYVYMQWFLE-VKHMYHEASA-N;C5 H10 N2 O3;146.06907;1.088;NA;No matches found;No matches found;DDA for preferred ion
Allantoin;Allantoin;HMDB0000462;C01551 ;POJWUDADGALRAB-UHFFFAOYSA-N;C4 H6 N4 O3;158.04388;0.921;NA;No matches found;No matches found;DDA for preferred ion
all-trans-Retinoic acid;all-trans-Retinoic acid;HMDB0001852;C00777;SHGAZHPCJJPHSC-YCNIQYBTSA-N;C20 H28 O2;300.20945;12.469;NA;No matches found;No matches found;No MS2
Amidosulfonic acid;Amidosulfonic acid;HMDB0034830;NA;IIACRCGMVDHOTQ-UHFFFAOYSA-N;H3 N O3 S;96.9834;0.73;NA;No matches found;No matches found;DDA for other ion
Anethole;Anethole;HMDB0030837;NA;RUVINXPYWBROJD-ARJAWSKDSA-N;C10 H12 O;148.08882;10.96;NA;No matches found;No matches found;No MS2
Artemether;Artemether;HMDB0015643;NA;SXYIRMFQILZOAM-HVNFFKDJSA-N;C16 H26 O5;298.17818;10.927;NA;No matches found;No matches found;No MS2
Ascorbic acid;Ascorbic acid;HMDB0000044;C01041 ;CIWBSHSKHKDKBQ-JLAZNSOCSA-N;C6 H8 O6;176.03202;1.402;89.3;No matches found;Single match found;DDA for preferred ion
Ascorbic acid 2-sulfate;Ascorbic acid 2-sulfate;HMDB0060649;NA;XDBMXUKHMOFBPJ-ZAFYKAAXSA-N;C6 H8 O9 S;255.98905;0.938;88.3;No matches found;Single match found;DDA for preferred ion
Aspartyl-L-proline;Aspartyl-L-proline;HMDB0002335;NA;UKGGPJNBONZZCM-WDSKDSINSA-N;C9 H14 N2 O5;230.09009;1.437;NA;No matches found;No matches found;No MS2
Astilbin;Astilbin;HMDB0033850;C17449 ;ZROGCCBNZBKLEL-MPRHSVQHSA-N;C21 H22 O11;450.11668;10.167;NA;No matches found;No matches found;No MS2
Avocadene 1-acetate;Avocadene 1-acetate;HMDB0031043;NA;NLBYRERHXBTBBR-UHFFFAOYSA-N;C6 H4 O5;156.00583;1.53;NA;No matches found;No matches found;No MS2
Azelnidipine;Azelnidipine;NA;D01145;ZKFQEACEUNWPMT-UHFFFAOYSA-N;C33 H34 N4 O6;582.24788;16.69;NA;No matches found;No matches found;DDA for preferred ion
Bevenopran;Bevenopran;NA;D10349;ZGCYVRNZWGUXNQ-UHFFFAOYSA-N;C20 H26 N4 O4;386.19422;10.067;NA;No matches found;No matches found;DDA for preferred ion
Bilirubin;Bilirubin;HMDB0000054;C00486;BPYKTIZUTYGOLE-IFADSCNNSA-N;C33 H36 N4 O6;584.26274;16.685;82.4;No matches found;Single match found;DDA for preferred ion
Bisoprolol;Bisoprolol;HMDB0014750;C06852 ;VHYCDWMUTMEGQY-UHFFFAOYSA-N;C18 H31 N O4;325.2249;10.747;NA;No matches found;No matches found;No MS2
Butopyronoxyl;Butopyronoxyl;NA;NA;OKIJSNGRQAOIGZ-UHFFFAOYSA-N;C12 H18 O4;226.12053;10.852;NA;No matches found;No matches found;DDA for preferred ion
Cascarillin;Cascarillin;HMDB0036836;C09071;ZOWKQQIGQBVKSV-UHFFFAOYSA-N;C22 H32 O7;408.21457;11.317;NA;No matches found;No matches found;No MS2
Cedefingol;Cedefingol;NA;D03419;CRJGESKKUOMBCT-PMACEKPBSA-N;C20 H41 N O3;343.30818;12.251;NA;No matches found;No matches found;No MS2
Chenodeoxycholic acid;Chenodeoxycholic acid;HMDB0000518;C02528;RUDATBOHQWOJDD-BSWAIDMHSA-N;C24 H40 O4;438.29841;11.831;83.2;Multiple matches found;No matches found;DDA for preferred ion
Chlorpromazine;Chlorpromazine;HMDB0014620;C06906;ZPEIMTDSQAKGNT-UHFFFAOYSA-N;C17 H19 Cl N2 S;318.09555;10.888;93.3;No matches found;Multiple matches found;DDA for preferred ion
Cholic acid;Cholic acid;HMDB0000619;C00695 ;BHQCQFFYRZLCQQ-OELDTZBJSA-N;C24 H40 O5;408.28784;11.728;91;Single match found;Multiple matches found;DDA for preferred ion
Choline;Choline;HMDB0000097;C00114;OEYIOHPDSNJKLS-UHFFFAOYSA-N;C5 H13 N O;103.09959;0.868;88;No matches found;Single match found;DDA for preferred ion
Ciclesonide;Ciclesonide;HMDB0015480;NA;LUKZNWIVRBCLON-FOMURGDPSA-N;C32 H44 O7;540.30929;12.319;NA;No matches found;No matches found;No MS2
CID 12910457;CID 12910457;NA;NA;GYHHZMUNWLCUAH-UHFFFAOYSA-N;C12 H9 N S;199.04542;10.644;NA;No matches found;No matches found;DDA for preferred ion
CID 134693179;CID 134693179;NA;NA;KYBOHGVERHWSSV-QSBRPZMVSA-N;C23 H38 O5;394.27231;11.288;NA;No matches found;No matches found;DDA for preferred ion
Cinnamoylglycine;Cinnamoylglycine;HMDB0011621;NA;YAADMLWHGMUGQL-VOTSOKGWSA-N;C11 H11 N O3;205.0738;9.989;90.3;Single match found;Multiple matches found;DDA for preferred ion
