metabolite_name;Human.Metabolome.Database;KEGG;InChIKey;Formula;Molecular.Weight;RT..min.;mzCloud.Best.Match;mzCloud.Library.Match..Autoprocessed;mzCloud.Library.Match..Reference;MS2
cis-4-Decenedioic acid;cis-4-Decenedioic acid;HMDB0000603;NA;CXGDCGIPEJKSCK-IWQZZHSRSA-N;C10 H16 O4;200.10486;10.346;NA;No matches found;No matches found;DDA for preferred ion
cis-5-Tetradecenoylcarnitine;cis-5-Tetradecenoylcarnitine;HMDB0002014;NA;NNCBVXBBLABOCB-SEYXRHQNSA-N;C21 H39 N O4;369.28765;11.604;NA;No matches found;No matches found;DDA for preferred ion
Citric acid;Citric acid;HMDB0000094;C00158;KRKNYBCHXYNGOX-UHFFFAOYSA-N;C6 H8 O7;192.02698;1.526;96.7;Single match found;Multiple matches found;DDA for preferred ion
Citrulline;Citrulline;HMDB0000904;C00327 ;RHGKLRLOHDJJDR-UHFFFAOYSA-N;C6 H13 N3 O3;175.09564;0.888;NA;No matches found;No matches found;DDA for other ion
Clozapine;Clozapine;HMDB0014507;C06924;QZUDBNBUXVUHMW-UHFFFAOYSA-N;C18 H19 Cl N4;326.1295;10.063;89.1;No matches found;Single match found;DDA for preferred ion
Clozapine N-oxide;Clozapine N-oxide;HMDB0060900;NA;OGUCZBIQSYYWEF-UHFFFAOYSA-N;C18 H19 Cl N4 O;342.12438;10.24;92.7;No matches found;Single match found;DDA for preferred ion
Creatine;Creatine;HMDB0000064;C00300;CVSVTCORWBXHQV-UHFFFAOYSA-N;C4 H9 N3 O2;131.06938;0.918;92.2;No matches found;Single match found;DDA for preferred ion
Creatinine;Creatinine;HMDB0000562;C00791;DDRJAANPRJIHGJ-UHFFFAOYSA-N;C4 H7 N3 O;113.05884;0.886;NA;No matches found;No matches found;No MS2
Cytosine;Cytosine;HMDB0000630;C00380;OPTASPLRGRRNAP-UHFFFAOYSA-N;C4 H5 N3 O;111.04352;1.419;NA;No matches found;No matches found;No MS2
D-​Xylonic acid;D-​Xylonic acid;HMDB0059750;C00502 ;QXKAIJAYHKCRRA-FLRLBIABSA-N;C5 H10 O6;166.04766;0.91;NA;No matches found;No matches found;DDA for preferred ion
dacisteine;dacisteine;NA;NA;HSPYGHDTVQJUDE-LURJTMIESA-N;C7 H11 N O4 S;205.04069;1.79;NA;No matches found;No matches found;DDA for preferred ion
Daidzein;Daidzein;HMDB0003312;C10208 ;ZQSIJRDFPHDXIC-UHFFFAOYSA-N;C15 H10 O4;254.05791;10.471;84;No matches found;Multiple matches found;DDA for preferred ion
Deoxyuridine;Deoxyuridine;HMDB0000012;C00526;MXHRCPNRJAMMIM-SHYZEUOFSA-N;C9 H12 N2 O5;228.07484;2.611;NA;No matches found;No matches found;DDA for other ion
D-Glucuronic acid;D-Glucuronic acid;HMDB0000127;C00191 ;AEMOLEFTQBMNLQ-WAXACMCWSA-N;C6 H10 O7;194.04261;0.892;NA;No matches found;No matches found;No MS2
DIBOA-Glc;DIBOA-Glc;HMDB0033734;NA;OUSLYTBGQGKTME-UHFFFAOYSA-N;C14 H17 N O9;343.09056;7.255;NA;No matches found;No matches found;No MS2
Dibutyl malate;Dibutyl malate;HMDB0031696;NA;PDSCSYLDRHAHOX-UHFFFAOYSA-N;C12 H22 O5;246.14664;10.358;NA;No matches found;No matches found;No MS2
Dibutyl phthalate;Dibutyl phthalate;HMDB0033244;C14214;DOIRQSBPFJWKBE-UHFFFAOYSA-N;C16 H22 O4;278.15183;12.117;NA;No matches found;No matches found;DDA for preferred ion
Diethyl pyrocarbonate;Diethyl pyrocarbonate;HMDB0032873;C11592;FFYPMLJYZAEMQB-UHFFFAOYSA-N;C6 H10 O5;162.05266;0.905;NA;No matches found;No matches found;DDA for preferred ion
Dihexyverine;Dihexyverine;NA;D07821;MNSQDVCVWNXBFQ-UHFFFAOYSA-N;C20 H35 N O2;321.26631;13.334;NA;No matches found;No matches found;No MS2
Dihydromethysticin;Dihydromethysticin;HMDB0030791;C09926;RSIWXFIBHXYNFM-UHFFFAOYSA-N;C15 H16 O5;276.10008;10.741;NA;No matches found;No matches found;No MS2
Dihydroroseoside;Dihydroroseoside;HMDB0040614;NA;QFTPTUOKFIIFJH-AATRIKPKSA-N;C19 H32 O8;388.21003;10.481;60.2;No matches found;Single match found;DDA for preferred ion
Diphenol glucuronide;Diphenol glucuronide;HMDB0059998;NA;ICPYZFZFSLTYID-GPTQDWHKSA-N;C12 H14 O8;286.06902;2.008;NA;No matches found;No matches found;No MS2
DL-Glutamate;DL-Glutamate;HMDB0060475;C00302;WHUUTDBJXJRKMK-UHFFFAOYSA-N;C5 H9 N O4;147.05305;1.403;NA;No matches found;No matches found;No MS2
D-Mannose;D-Mannose;HMDB0000169;C00936 ;WQZGKKKJIJFFOK-PQMKYFCFSA-N;C6 H12 O6;180.06346;0.893;90.1;Multiple matches found;Multiple matches found;DDA for preferred ion
Docosahexaenoic acid;Docosahexaenoic acid;HMDB0002183;C06429 ;MBMBGCFOFBJSGT-KUBAVDMBSA-N;C22 H32 O2;328.24034;14.245;89.5;Single match found;Single match found;DDA for preferred ion
Dodecanedioic acid;Dodecanedioic acid;HMDB0000623;C02678;TVIDDXQYHWJXFK-UHFFFAOYSA-N;C12 H22 O4;230.1517;11.235;91.8;No matches found;Single match found;DDA for preferred ion
Dolichol phosphate;Dolichol phosphate;HMDB0006353;C00110 ;DZHSRPJGCZHWOM-NTEUORMPSA-N;C25 H45 O4 P;440.30388;12.409;NA;No matches found;No matches found;No MS2
D-Phenyllactic acid;D-Phenyllactic acid;HMDB0000563;NA;VOXXWSYKYCBWHO-UHFFFAOYSA-N;C9 H10 O3;166.06286;9.223;92.7;No matches found;Multiple matches found;DDA for preferred ion
D-Proline;D-Proline;HMDB0003411;C00763 ;ONIBWKKTOPOVIA-SCSAIBSYSA-N;C5 H9 N O2;115.06326;0.932;92.9;No matches found;Multiple matches found;DDA for preferred ion
Ecgonine;Ecgonine;HMDB0006548;C10858;PHMBVCPLDPDESM-RLXKETGRSA-N;C9 H15 N O3;185.10514;9.896;NA;No matches found;No matches found;DDA for preferred ion
Ectoine;Ectoine;HMDB0240650;C06231 ;WQXNXVUDBPYKBA-YFKPBYRVSA-N;C6 H10 N2 O2;142.0742;0.935;NA;Single match found;No matches found;DDA for other ion
Enviradene;Enviradene;NA;D04010;BFPYUXIFGJJYHU-AYSLTRBKSA-N;C19 H21 N3 O2 S;355.13496;9.531;NA;No matches found;No matches found;DDA for preferred ion
Ethyl glucuronide;Ethyl glucuronide;HMDB0010325;NA;IWJBVMJWSPZNJH-UQGZVRACSA-N;C8 H14 O7;222.07386;5.165;NA;No matches found;No matches found;DDA for preferred ion
Ethyl vanillin isobutyrate;Ethyl vanillin isobutyrate;HMDB0037683;NA;BTCQMCOBMIXUCG-UHFFFAOYSA-N;C13 H16 O4;236.10481;10.822;NA;No matches found;No matches found;No MS2
Fagomine;Fagomine;HMDB0033453;C10144 ;YZNNBIPIQWYLDM-HSUXUTPPSA-N;C6 H13 N O3;147.08954;1.421;NA;No matches found;No matches found;DDA for other ion
Fenethazine;Fenethazine;HMDB0240228;NA;PFAXACNYGZVKMX-UHFFFAOYSA-N;C16 H18 N2 S;270.11882;10.414;NA;No matches found;No matches found;DDA for preferred ion
Floionolic acid;Floionolic acid;HMDB0034295;C19621 ;OISFHODBOQNZAG-UHFFFAOYSA-N;C18 H36 O5;332.25662;11.001;NA;No matches found;No matches found;No MS2
Formiminoglutamic acid;Formiminoglutamic acid;HMDB0000854;C00439;NRXIKWMTVXPVEF-BYPYZUCNSA-N;C6 H10 N2 O4;174.06398;1.585;NA;No matches found;No matches found;DDA for preferred ion
Fumaric acid;Fumaric acid;HMDB0000134;C00122;VZCYOOQTPOCHFL-OWOJBTEDSA-N;C4 H4 O4;116.01088;1.803;93.3;No matches found;Multiple matches found;DDA for preferred ion
Galactitol;Galactitol;HMDB0000107;C01697;FBPFZTCFMRRESA-UHFFFAOYSA-N;C6 H14 O6;182.07882;0.89;NA;No matches found;No matches found;DDA for preferred ion
Genistein;Genistein;HMDB0003217;C06563;TZBJGXHYKVUXJN-UHFFFAOYSA-N;C15 H10 O5;270.05303;10.965;76.4;Single match found;Multiple matches found;DDA for preferred ion
Gluconic acid;Gluconic acid;HMDB0000625;C00257;RGHNJXZEOKUKBD-SQOUGZDYSA-N;C6 H12 O7;196.05826;0.888;70.6;No matches found;Multiple matches found;DDA for preferred ion
Glu-Gly;Glu-Gly;HMDB0028819;NA;LSPKYLAFTPBWIL-BYPYZUCNSA-N;C7 H12 N2 O5;204.07446;0.92;NA;No matches found;No matches found;No MS2
Glutamylglutamic acid;Glutamylglutamic acid;HMDB0028818;C01425 ;KOSRFJWDECSPRO-WDSKDSINSA-N;C10 H16 N2 O7;276.09553;1.403;NA;No matches found;No matches found;No MS2
Glutamylmethionine;Glutamylmethionine;HMDB0028825;NA;SXGAGTVDWKQYCX-BQBZGAKWSA-N;C10 H18 N2 O5 S;278.09351;4.012;NA;No matches found;No matches found;DDA for preferred ion
Glutamylserine;Glutamylserine;HMDB0028828;NA;UQHGAYSULGRWRG-WHFBIAKZSA-N;C8 H14 N2 O6;234.08527;0.935;NA;No matches found;No matches found;DDA for other ion
Glutamylthreonine;Glutamylthreonine;HMDB0028829;NA;JSIQVRIXMINMTA-ZDLURKLDSA-N;C9 H16 N2 O6;248.10059;1.351;NA;No matches found;No matches found;No MS2
Glutaric acid;Glutaric acid;HMDB0000661;C00489;JFCQEDHGNNZCLN-UHFFFAOYSA-N;C5 H8 O4;132.04246;1.426;NA;No matches found;No matches found;No MS2
Glycerol;Glycerol;HMDB0000131;C00116;PEDCQBHIVMGVHV-UHFFFAOYSA-N;C3 H8 O3;92.04727;0.938;NA;No matches found;No matches found;DDA for other ion
Glycerol tributanoate;Glycerol tributanoate;HMDB0031094;C13870;UYXTWWCETRIEDR-UHFFFAOYSA-N;C15 H26 O6;302.17304;10.325;NA;No matches found;No matches found;No MS2
Glycocholic acid;Glycocholic acid;HMDB0000138;C01921 ;RFDAIACWWDREDC-FRVQLJSFSA-N;C26 H43 N O6;465.30898;11.711;NA;No matches found;No matches found;No MS2
Glycyl-L-leucine;Glycyl-L-leucine;HMDB0000759;C02155;DKEXFJVMVGETOO-LURJTMIESA-N;C8 H16 N2 O3;188.11601;1.426;NA;No matches found;No matches found;No MS2
Glycylproline;Glycylproline;HMDB0000721;NA;KZNQNBZMBZJQJO-YFKPBYRVSA-N;C7 H12 N2 O3;172.08473;1.422;NA;No matches found;No matches found;No MS2
Hexadecanedioic acid;Hexadecanedioic acid;HMDB0000672;C19615;QQHJDPROMQRDLA-UHFFFAOYSA-N;C16 H30 O4;286.21451;12.576;95.7;Single match found;Single match found;DDA for preferred ion
Hexanamide;Hexanamide;NA;NA;ALBYIUDWACNRRB-UHFFFAOYSA-N;C6 H13 N O;115.09964;0.918;NA;No matches found;No matches found;No MS2
Hexanoylglycine;Hexanoylglycine;HMDB0000701;NA;UPCKIPHSXMXJOX-UHFFFAOYSA-N;C8 H15 N O3;173.10518;9.391;91.3;No matches found;Single match found;DDA for preferred ion
Hippuric acid;Hippuric acid;HMDB0000714;C01586;QIAFMBKCNZACKA-UHFFFAOYSA-N;C9 H9 N O3;179.0582;7.288;88.4;No matches found;Multiple matches found;DDA for preferred ion
Histamine;Histamine;HMDB0000870;C00388 ;NTYJJOPFIAHURM-UHFFFAOYSA-N;C5 H9 N3;111.07952;0.736;94.4;No matches found;Single match found;DDA for preferred ion
Hypoxanthine;Hypoxanthine;HMDB0000157;C00262;FDGQSTZJBFJUBT-UHFFFAOYSA-N;C5 H4 N4 O;136.03842;0.956;95.5;No matches found;Multiple matches found;DDA for preferred ion
Indole;Indole;HMDB0000738;C00463;SIKJAQJRHWYJAI-UHFFFAOYSA-N;C8 H7 N;117.05774;7.29;NA;No matches found;No matches found;DDA for preferred ion
Indoleacrylic acid;Indoleacrylic acid;HMDB0000734;NA;PLVPPLCLBIEYEA-AATRIKPKSA-N;C11 H9 N O2;187.06323;9.745;88.4;No matches found;Multiple matches found;DDA for preferred ion
Indolelactic acid;Indolelactic acid;HMDB0000671;C02043;XGILAAMKEQUXLS-JTQLQIEISA-N;C11 H11 N O3;205.07378;9.693;91.6;No matches found;Multiple matches found;DDA for preferred ion
Indoxyl sulfate;Indoxyl sulfate;HMDB0000682;NA;BXFFHSIDQOFMLE-UHFFFAOYSA-N;C8 H7 N O4 S;213.00958;6.979;93.9;No matches found;Multiple matches found;DDA for preferred ion
Isobutyrylglycine;Isobutyrylglycine;HMDB0000730;NA;DCICDMMXFIELDF-UHFFFAOYSA-N;C6 H11 N O3;145.07382;4.13;88.4;No matches found;Single match found;DDA for preferred ion
Itaconic acid;Itaconic acid;HMDB0002092;C00490;LVHBHZANLOWSRM-UHFFFAOYSA-N;C5 H6 O4;130.02654;0.94;NA;No matches found;No matches found;DDA for preferred ion
Kyotorphin;Kyotorphin;HMDB0005768;C02993;JXNRXNCCROJZFB-RYUDHWBXSA-N;C15 H23 N5 O4;337.1733;8.263;NA;No matches found;No matches found;No MS2
L-Acetylcarnitine;L-Acetylcarnitine;HMDB0000201;C02571 ;RDHQFKQIGNGIED-MRVPVSSYSA-N;C9 H17 N O4;203.11564;1.423;95.4;No matches found;Single match found;DDA for preferred ion
L-Arginine;L-Arginine;HMDB0000517;C00062 ;ODKSFYDXXFIFQN-UHFFFAOYSA-N;C6 H14 N4 O2;174.11162;0.867;96.2;Single match found;Multiple matches found;DDA for preferred ion
L-Asparagine;L-Asparagine;HMDB0000168;C00152;DCXYFEDJOCDNAF-REOHCLBHSA-N;C4 H8 N2 O3;132.05342;0.932;NA;No matches found;No matches found;DDA for preferred ion
L-Carnitine;L-Carnitine;HMDB0000062;NA;PHIQHXFUZVPYII-ZCFIWIBFSA-N;C7 H15 N O3;161.10506;0.886;96.1;No matches found;Multiple matches found;DDA for preferred ion
Leucyl-Glutamate;Leucyl-Glutamate;HMDB0028928;NA;NFNVDJGXRFEYTK-UHFFFAOYSA-N;C11 H20 N2 O5;260.13706;5.911;NA;No matches found;No matches found;DDA for preferred ion
Leucylproline;Leucylproline;HMDB0011175;NA;VTJUNIYRYIAIHF-IUCAKERBSA-N;C11 H20 N2 O3;228.1473;6.184;NA;No matches found;No matches found;No MS2
Levulinic acid;Levulinic acid;HMDB0000720;NA;JOOXCMJARBKPKM-UHFFFAOYSA-N;C5 H8 O3;116.04731;7.699;NA;No matches found;No matches found;No MS2
L-Glutamine;L-Glutamine;HMDB0000641;C00064 ;ZDXPYRJPNDTMRX-VKHMYHEASA-N;C5 H10 N2 O3;146.06906;0.874;86.6;No matches found;Multiple matches found;DDA for preferred ion
L-Histidine;L-Histidine;HMDB0000177;C00135;HNDVDQJCIGZPNO-YFKPBYRVSA-N;C6 H9 N3 O2;155.06943;0.832;NA;No matches found;No matches found;No MS2
L-Lysine;L-Lysine;HMDB0000182;C00047 ;KDXKERNSBIXSRK-YFKPBYRVSA-N;C6 H14 N2 O2;146.10547;0.755;90.1;No matches found;Multiple matches found;DDA for preferred ion
L-Methionine;L-Methionine;HMDB0000696;C00073 ;FFEARJCKVFRZRR-BYPYZUCNSA-N;C5 H11 N O2 S;149.05098;1.43;96.2;No matches found;Multiple matches found;DDA for preferred ion
Lopinavir;Lopinavir;HMDB0015539;C12871;KJHKTHWMRKYKJE-SUGCFTRWSA-N;C37 H48 N4 O5;628.36125;12.584;NA;No matches found;No matches found;No MS2
Loxoprofen;Loxoprofen;HMDB0041920;D08149;YMBXTVYHTMGZDW-UHFFFAOYSA-N;C15 H18 O3;246.12541;11.924;NA;No matches found;No matches found;No MS2
L-Phenylalanine;L-Phenylalanine;HMDB0000159;C00079 ;COLNVLDHVKWLRT-QMMMGPOBSA-N;C9 H11 N O2;165.07892;9.427;NA;No matches found;No matches found;No MS2
L-Prolinamide;L-Prolinamide;NA;C19781;VLJNHYLEOZPXFW-BYPYZUCNSA-N;C5 H10 N2 O;114.07921;0.762;NA;No matches found;No matches found;DDA for preferred ion
L-Serine;L-Serine;HMDB0000187;C00065 ;MTCFGRXMJLQNBG-REOHCLBHSA-N;C3 H7 N O3;105.0425;0.877;NA;No matches found;No matches found;DDA for other ion
L-Threonine;L-Threonine;HMDB0000167;C00188;AYFVYJQAPQTCCC-GBXIJSLDSA-N;C4 H9 N O3;119.05813;0.877;NA;No matches found;No matches found;DDA for other ion
L-Tyrosine;L-Tyrosine;HMDB0000158;C00082;OUYCCCASQSFEME-QMMMGPOBSA-N;C9 H11 N O3;181.07386;0.967;91.2;No matches found;Multiple matches found;DDA for preferred ion
Lunacalcipol;Lunacalcipol;NA;D09928;RFQHCLMGLJGZNV-UXXOMSPDSA-N;C28 H42 O4 S;474.28066;10.924;NA;No matches found;No matches found;No MS2
Lusitanicoside;Lusitanicoside;HMDB0034120;C10474 ;DAELTTGCCPRYTP-UHFFFAOYSA-N;C21 H30 O10;442.18425;10.417;NA;No matches found;No matches found;No MS2
L-Valine;L-Valine;HMDB0000883;C00183 ;KZSNJWFQEVHDMF-BYPYZUCNSA-N;C5 H11 N O2;117.07885;0.926;93.9;No matches found;Multiple matches found;DDA for preferred ion
LysoPC(0:0/18:1(9Z));LysoPC(0:0/18:1(9Z));HMDB0062651;NA;SULIDBRAXVDKBU-PTGWMXDISA-N;C26 H52 N O7 P;521.3479;13.017;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(16:1(9Z)/0:0);LysoPC(16:1(9Z)/0:0);HMDB0010383;C04230 ;LFUDDCMNKWEORN-ZXEGGCGDSA-N;C24 H48 N O7 P;493.31663;12.438;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(18:2(9Z,12Z)/0:0);LysoPC(18:2(9Z,12Z)/0:0);HMDB0010386;NA;SPJFYYJXNPEZDW-FTJOPAKQSA-N;C26 H50 N O7 P;519.3322;12.668;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0);LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0);HMDB0010397;C04230 ;PDIGSOAOQOXRDU-WJPZTBRDSA-N;C28 H48 N O7 P;541.31669;12.317;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0);LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0);HMDB0010403;C04230 ;BIEOSECQPGGZMF-NAIWXXGBSA-N;C30 H52 N O7 P;569.34774;13.003;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(P-16:0/0:0);LysoPC(P-16:0/0:0);HMDB0010407;NA;HTZINLFNXLXRBC-CQLBIITFSA-N;C24 H50 N O6 P;479.33709;13.174;NA;No matches found;No matches found;DDA for preferred ion
LysoPC(P-18:0/0:0);LysoPC(P-18:0/0:0);HMDB0013122;NA;WBOMIOWRFSPZMC-AYICAFKVSA-N;C26 H54 N O6 P;507.36864;13.406;NA;No matches found;No matches found;DDA for preferred ion
LysoPE(18:1(9Z)/0:0);LysoPE(18:1(9Z)/0:0);HMDB0011506;NA;PYVRVRFVLRNJLY-MZMPXXGTSA-N;C23 H46 N O7 P;479.30112;13.098;NA;No matches found;No matches found;DDA for preferred ion
LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0);LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0);HMDB0011517;NA;ROPRRXYVXLDXQO-XSQXPFHXSA-N;C25 H44 N O7 P;501.28565;12.636;NA;No matches found;No matches found;DDA for preferred ion
Menadiol;Menadiol;NA;C07126;ZJTLZYDQJHKRMQ-UHFFFAOYSA-N;C11 H10 O2;174.06803;10.922;NA;No matches found;No matches found;No MS2
Menadione;Menadione;HMDB0001892;C05377;MJVAVZPDRWSRRC-UHFFFAOYSA-N;C11 H8 O2;172.05238;10.767;NA;No matches found;No matches found;No MS2
Meprobamate;Meprobamate;HMDB0014515;NA;NPPQSCRMBWNHMW-UHFFFAOYSA-N;C9 H18 N2 O4;218.12654;1.432;NA;No matches found;No matches found;No MS2
Methacholine;Methacholine;HMDB0015654;C07471 ;NZWOPGCLSHLLPA-UHFFFAOYSA-N;C8 H17 N O2;159.12582;1.417;87.3;No matches found;Single match found;DDA for preferred ion
Methyl 3-(2,3-dihydroxy-3-methylbutyl)-4-hydroxybenzoate;Methyl 3-(2,3-dihydroxy-3-methylbutyl)-4-hydroxybenzoate;HMDB0032796;NA;ABFHVQPVDSMGNR-UHFFFAOYSA-N;C13 H18 O5;254.11553;10.891;NA;Multiple matches found;No matches found;DDA for preferred ion
Methyl jasmonate;Methyl jasmonate;HMDB0036583;C11512 ;GEWDNTWNSAZUDX-WQMVXFAESA-N;C13 H20 O3;224.14105;11.827;NA;No matches found;No matches found;No MS2
Mexiletine;Mexiletine;HMDB0014523;C07220 ;VLPIATFUUWWMKC-UHFFFAOYSA-N;C11 H17 N O;179.13105;11.45;NA;No matches found;No matches found;No MS2
Minaprine;Minaprine;HMDB0014943;NA;LDMWSLGGVTVJPG-UHFFFAOYSA-N;C17 H22 N4 O;298.17815;11.782;NA;No matches found;No matches found;No MS2
Muscimol;Muscimol;NA;C08311;ZJQHPWUVQPJPQT-UHFFFAOYSA-N;C4 H6 N2 O2;114.04284;0.928;NA;No matches found;No matches found;DDA for preferred ion
N1-Acetylspermidine;N1-Acetylspermidine;HMDB0001276;C00612 ;MQTAVJHICJWXBR-UHFFFAOYSA-N;C9 H21 N3 O;187.16847;0.822;NA;No matches found;No matches found;No MS2
N2-Acetylornithine;N2-Acetylornithine;HMDB0003357;C00437;JRLGPAXAGHMNOL-LURJTMIESA-N;C7 H14 N2 O3;174.10041;0.945;NA;Single match found;No matches found;DDA for preferred ion
N-a-Acetyl-L-arginine;N-a-Acetyl-L-arginine;HMDB0004620;NA;SNEIUMQYRCDYCH-LURJTMIESA-N;C8 H16 N4 O3;216.12209;0.916;NA;No matches found;No matches found;No MS2
Nabilone;Nabilone;HMDB0014629;NA;GECBBEABIDMGGL-RTBURBONSA-N;C24 H36 O3;372.26611;11.727;NA;No matches found;No matches found;No MS2
